name,rating,review_count,address,city,zip_code,phone,yelp_url,website,coordinates,categories,price,dogs_allowed,good_for_kids
Peppermint Restaurant & Lounge,4.5,2,"1218 E Broadway, Glendale, CA 91205",Glendale,91205,+18183343330,https://www.yelp.com/biz/peppermint-restaurant-and-lounge-glendale?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 34.145986, 'longitude': -118.238865}","['Mediterranean', 'Breakfast & Brunch', 'Coffee & Tea']",N/A,Unknown,Unknown
"MOOYAH Burgers, Fries & Shakes",4.3,34,"5895 Katella Ave, Cypress, CA 90630",Cypress,90630,+17149470028,https://www.yelp.com/biz/mooyah-cypress?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.80357, 'longitude': -118.0297357}","['Burgers', 'Hot Dogs', 'Ice Cream & Frozen Yogurt']",N/A,Unknown,Unknown
The Kickin' Crab,4.8,75,"116 E Chapman Ave, Orange, CA 92866",Orange,92866,+17143633007,https://www.yelp.com/biz/the-kickin-crab-orange-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.78765, 'longitude': -117.852249}","['Cajun/Creole', 'Seafood']",N/A,Unknown,Unknown
Made Burgers,4.6,23,"1425 W Redondo Beach Blvd, Gardena, CA 90247",Gardena,90247,+13105281159,https://www.yelp.com/biz/made-burgers-gardena?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.891283110494975, 'longitude': -118.3015158}",['American'],$$,Unknown,Unknown
Rosa Madera,4.0,112,"1755 E Daily Dr, Camarillo, CA 93010",Camarillo,93010,+18052299164,https://www.yelp.com/biz/rosa-madera-camarillo-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 34.218086, 'longitude': -119.0465998}",['Mexican'],N/A,Unknown,Unknown
Chaplus Modern Tea Room,4.8,8,"665 N Tustin St, Orange, CA 92867",Orange,92867,+16572249021,https://www.yelp.com/biz/chaplus-modern-tea-room-orange-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.79811264679368, 'longitude': -117.8348977}","['Bubble Tea', 'Juice Bars & Smoothies', 'Waffles']",N/A,Unknown,Unknown
Super Mex,4.2,50,"6554 Greenleaf Ave, Whittier, CA 90601",Whittier,90601,+15623995000,https://www.yelp.com/biz/super-mex-whittier-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.981157, 'longitude': -118.037124}",['Mexican'],N/A,Unknown,Unknown
Bun Bo Hue Nhut Vi,4.0,26,"10212 Westminster Ave, Ste 112 - 113, Garden Grove, CA 92843",Garden Grove,92843,+17149813888,https://www.yelp.com/biz/bun-bo-hue-nhut-vi-garden-grove-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.75922869300992, 'longitude': -117.95124149195595}",['Vietnamese'],$$,Unknown,Unknown
Kiwami Ramen,5.0,6,"5145 Warner Ave, Huntington Beach, CA 92649",Huntington Beach,92649,+16264251072,https://www.yelp.com/biz/kiwami-ramen-huntington-beach-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,,"{'latitude': 33.715854, 'longitude': -118.038912}","['Sushi Bars', 'Izakaya', 'Ramen']",N/A,Unknown,Unknown
